search_query,video_title,video_id,embed_url
"""山手線 発車メロディ""",【山手線発車メロディ】内回り 高輪ゲートウェイ含む【マイクラ音ブロック】,menRTvaOSRw,https://www.youtube.com/embed/menRTvaOSRw
"""山手線 発車メロディ""",新宿駅12番線山手線発車メロディー,SJl5rtlR_Xs,https://www.youtube.com/embed/SJl5rtlR_Xs
"""山手線 発車メロディ""",山手線 発車メロディ【品川発 内回り】,bZWj3iW-oKQ,https://www.youtube.com/embed/bZWj3iW-oKQ
"""山手線 発車メロディ""",神田駅 期間限定発車メロディー「モンダミン CMソング」,yyavrOJEvD0,https://www.youtube.com/embed/yyavrOJEvD0
"""山手線 発車メロディ""",【衝撃】ちぃかっぱの歌とJRの発車メロディー(教会の見える駅)が似すぎてた！〈比較〉,nmw2yLYx5qE,https://www.youtube.com/embed/nmw2yLYx5qE
"""山手線 発車メロディ""",都会の駅でよく聞くやつ,8_Y6Mrrrv_I,https://www.youtube.com/embed/8_Y6Mrrrv_I
"""山手線 発車メロディ""",JR山手線発車メロディ高音質！品川駅,XnT2iLXoMts,https://www.youtube.com/embed/XnT2iLXoMts
"""山手線 発車メロディ""",山手線発車メロディをサンプリングしてみた //  I sampled Tokyo&#39;s Yamanote Line departure jingle,ApKWFWYpGuo,https://www.youtube.com/embed/ApKWFWYpGuo
"""山手線 発車メロディ""",電車の発車メロディーで遊んでみた【電卓演奏＆プラレール】 #shorts #発車メロディー #JR,o_xi4SqsfB4,https://www.youtube.com/embed/o_xi4SqsfB4
"""山手線 発車メロディ""",【4K前面展望】山手線内回り1周 東京→東京　[4K train cab view] Yamanote Line inner circle Tokyo → Tokyo,tL_JkInyBbY,https://www.youtube.com/embed/tL_JkInyBbY
"""山手線 発車メロディ""",「東京駅」山手線発車メロディの耳コピ　byかーたん,LsTIA3Up5jY,https://www.youtube.com/embed/LsTIA3Up5jY
"""山手線 発車メロディ""",山手線発車メロディ弾いてみた#鉄腕アトム #山手線 #発車メロディ #発車メロディー #弾いてみた #marimba #astroboy #다카다노바바,TLwSABikdSo,https://www.youtube.com/embed/TLwSABikdSo
"""山手線 発車メロディ""",【山手線】発車メロディ「春」大塚駅,iLsaiJMnkCw,https://www.youtube.com/embed/iLsaiJMnkCw
"""山手線 発車メロディ""",JR山手線発車メロディー[五反田駅]「Cielo Estrellado」耳コピ,N6VqXonAaXM,https://www.youtube.com/embed/N6VqXonAaXM
"""京浜東北線 発車メロディ""",JR京浜東北・根岸線 発車メロディ集,0PQ-1vA2UPc,https://www.youtube.com/embed/0PQ-1vA2UPc
"""京浜東北線 発車メロディ""",【2025年6月Ver】JR京浜東北・根岸線　発車メロディー全集　(大宮→大船),5FQudLNog0s,https://www.youtube.com/embed/5FQudLNog0s
"""京浜東北線 発車メロディ""",JR京浜東北・根岸線　発車メロディー全集,x57u9cF2lq4,https://www.youtube.com/embed/x57u9cF2lq4
"""京浜東北線 発車メロディ""",京浜東北線　目覚まし時計,0IIy6SoSK5E,https://www.youtube.com/embed/0IIy6SoSK5E
"""京浜東北線 発車メロディ""",JR東日本　京浜東北線　大宮→蒲田　発車メロディー,aKgb3Jt5_Ao,https://www.youtube.com/embed/aKgb3Jt5_Ao
"""京浜東北線 発車メロディ""",京浜東北線 大井町駅 旧接近メロディー・発車メロディー,FBxHAvfdKVI,https://www.youtube.com/embed/FBxHAvfdKVI
"""京浜東北線 発車メロディ""",JR東日本　京浜東北・根岸線　川崎→大船　発車メロディー,9_WaRrZNL6c,https://www.youtube.com/embed/9_WaRrZNL6c
"""京浜東北線 発車メロディ""",【全番線・2024年10月9日より使用開始！】京浜東北線・根岸線・横浜線・東海道線(上野東京ライン・湘南新宿ライン)・横須賀線 横浜駅 発車メロディ,4vNyfzsMKaU,https://www.youtube.com/embed/4vNyfzsMKaU
"""京浜東北線 発車メロディ""",JR東日本　京浜東北線　大宮→蒲田　発車メロディー【2000/9/1現在】,dgBfwDLX-LU,https://www.youtube.com/embed/dgBfwDLX-LU
"""京浜東北線 発車メロディ""",【発車メロディ•ドア開閉有り】KATO E233系 京浜東北線 Nゲージ 到着•発車(実車音付き),FT2dFKs3Ejk,https://www.youtube.com/embed/FT2dFKs3Ejk
"""京浜東北線 発車メロディ""",京浜東北線 蒲田駅1・4番線 発車メロディ「蒲田行進曲」,kAVlNvddXDg,https://www.youtube.com/embed/kAVlNvddXDg
"""京浜東北線 発車メロディ""",JR東日本　京浜東北・根岸線　大船→川崎　発車メロディー,ddg4ruweeSw,https://www.youtube.com/embed/ddg4ruweeSw
"""京浜東北線 発車メロディ""",京浜東北線　田町駅北行　発車メロディー,CwR8HBjagYw,https://www.youtube.com/embed/CwR8HBjagYw
"""京浜東北線 発車メロディ""",電車銀行　京浜東北線　発車メロディー,btLONzwWe5g,https://www.youtube.com/embed/btLONzwWe5g
"""京浜東北線 発車メロディ""",JR東京駅 旧発車メロディー『JR-SH 1-1・2-3・3-3・5-1・2-1』『ドリームパーク』『のぞみチャイム』『Verde Rayo V2』『twilight』,E-GbtN_fBew,https://www.youtube.com/embed/E-GbtN_fBew
"""京浜東北線 発車メロディ""",JR京浜東北線　王子の発車メロディー　♪シンコペーション,jC0G-SbWh9s,https://www.youtube.com/embed/jC0G-SbWh9s
"""京浜東北線 発車メロディ""",JR京浜東北線 赤羽駅 1番線 旧発車メロディ「清流」,-_NQfoBsExM,https://www.youtube.com/embed/-_NQfoBsExM
"""京浜東北線 発車メロディ""",京浜東北線 大宮 E233系 ご当地発車メロディ(駅メロ),-DZgmO3YEMA,https://www.youtube.com/embed/-DZgmO3YEMA
"""京浜東北線 発車メロディ""",【京浜東北線】神曲だと思った発車メロディー集,wiiS79dtLqE,https://www.youtube.com/embed/wiiS79dtLqE
"""京浜東北線 発車メロディ""",JR京浜東北線東京駅6番線発車メロディー（JR SH5-1）,tyQX0IXFzNw,https://www.youtube.com/embed/tyQX0IXFzNw
"""京浜東北線 発車メロディ""",発車メロディ 「JR-SH5」 JR京浜東北線 東京駅６番線,U_ago8EJgnA,https://www.youtube.com/embed/U_ago8EJgnA
"""京浜東北線 発車メロディ""",【2コーラス目】京浜東北線 大井町駅 発車メロディ「『四季』より“春”第一楽章」・「『四季』より“秋“第三楽章」,3xh0BXdu8WE,https://www.youtube.com/embed/3xh0BXdu8WE
